Joints
100
,,nathaniel:Thigh_Shank,,,nathaniel:World_Thigh,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,mm,mm,mm
253,0,14.4179,-6.99323,-25.3756,95.668,4.64793,-51.2466,-48.1288,627.62,156.589
254,0,14.3187,-7.26913,-24.9915,95.9521,4.80683,-51.2615,-47.8391,626.969,155.419
255,0,14.2011,-7.55018,-24.6129,96.2267,4.92821,-51.2586,-47.5333,626.299,154.258
256,0,14.0922,-7.82561,-24.2509,96.4914,5.0409,-51.2415,-47.25,625.69,153.13
257,0,13.9902,-8.09295,-23.8953,96.7254,5.18312,-51.2658,-47.0424,625.104,151.964
258,0,13.8787,-8.40742,-23.4761,96.9825,5.34053,-51.2944,-46.8513,624.572,150.823
259,0,13.7624,-8.74121,-23.0367,97.2753,5.50571,-51.3118,-46.6841,624.078,149.75
260,0,13.6277,-9.11133,-22.5768,97.5843,5.64943,-51.3073,-46.5164,623.591,148.708
261,0,13.5182,-9.43322,-22.1582,97.8872,5.76677,-51.308,-46.3219,623.116,147.712
262,0,13.4272,-9.6749,-21.8555,98.1516,5.7764,-51.1988,-46.0681,622.537,146.602
